Outcome,Fighter,Fightee,Str,TD,Sub,Pass,Str2,TD2,Sub2,Pass2,Name,Date,Method,Misc,Rounds,Time,
loss,Mike Swick,Paulo Thiago,7,9,1,0,0,1,0,1,UFC 109: Relentless,Feb. 06  2010,SUB,D'Arce Choke,2,01:54,
loss,Mike Swick,Dan Hardy,38,55,0,1,1,0,0,0,UFC 105: Couture vs Vera,Nov. 14  2009,U-DEC,,3,05:00,
win,Mike Swick,Ben Saunders,10,17,1,0,1,0,1,0,UFC 99: The Comeback,Jun. 13  2009,KO/TKO,Punches,2,03:47,
win,Mike Swick,Jonathan Goulet,7,1,0,0,0,0,0,0,UFC Fight Night - Fight for the Troops,Dec. 10  2008,KO/TKO,Punch,1,00:33,
win,Mike Swick,Marcus Davis,32,31,2,3,1,2,7,0,UFC 85: Bedlam,Jun. 07  2008,U-DEC,,3,05:00,
win,Mike Swick,Joshua Burkman,54,39,0,1,0,0,0,0,UFC Fight Night: Swick vs Burkman,Jan. 23  2008,M-DEC,,3,05:00,
loss,Mike Swick,Yushin Okami,28,28,0,4,0,2,1,5,UFC 69: Shootout,Apr. 07  2007,U-DEC,,3,05:00,
win,Mike Swick,David Loiseau,32,36,3,1,0,0,4,1,UFC 63: Hughes vs Penn,Sep. 23  2006,U-DEC,,3,05:00,
win,Mike Swick,Joe Riggs,5,1,0,0,1,0,0,0,UFC 60: Hughes vs Gracie,May. 27  2006,SUB,Guillotine Choke,1,02:19,
win,Mike Swick,Steve Vigneault,13,6,0,0,1,0,0,0,UFC 58: USA vs Canada,Mar. 04  2006,SUB,Guillotine Choke,1,02:09,
win,Mike Swick,Gideon Ray,7,1,0,0,0,0,0,0,UFC Fight Night 1,Aug. 06  2005,KO/TKO,Punches,1,00:22,
win,Mike Swick,Alex Schoenauer,7,1,0,0,0,0,0,0,The Ultimate Fighter 1 Finale,Apr. 09  2005,KO/TKO,Punch,1,00:20,
loss,Mike Swick,Chris Leben,22,22,1,0,0,1,0,1,WEC 9: Cold Blooded,Jan. 16  2004,KO/TKO,Punch,2,00:45,
win,Mike Swick,Kengo Ura,25,11,1,2,1,1,3,3,WEC 6: Return of a Legend,Mar. 27  2003,KO/TKO,Knee,3,00:31,
win,Mike Swick,James Gabert,0,0,0,0,0,0,0,0,WEC 4: Rumble Under the Sun,Aug. 31  2002,U-DEC,,3,05:00,
loss,Floyd Sword,Thales Leites,3,6,0,2,0,1,0,4,The Ultimate Fighter 5 Finale,Jun. 23  2007,SUB,Arm Triangle,1,03:50,
loss,Bentley Syler,Fredy Serrano,15,20,0,2,0,0,0,1,UFC Fight Night: Maia vs LaFlare,Mar. 21  2015,KO/TKO,Punch,3,01:34,
loss,Leo Sylvest,Rich Franklin,0,8,0,0,0,0,0,2,SuperBrawl 35,Apr. 16  2004,KO/TKO,Punches,1,01:13,
