First,Last,Height,Weight,Reach,Stance,Birth,SLpM,Str. Acc., SApM,Str. Def.,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,Wins,Losses,Draws, Last_3_W, Last_3_L, W_Streak, L_Streak, KOs, Subs, UFC_Fights, Fight_Time,
Ben,Lagman,"6'2""",185lbs.,--,,Sep04 1986,0,0,0,0,0,0,0,0,6,2,0,0,1,0,1,1,0,5.55,1,
Noad,Lahat,"5'9""",145lbs.,"69""",Orthodox,Jun08 1984,2.79,46,1.47,63,2.37,26,16,2.4,9,2,0,2,1,0,1,2,0,38.03,4,
Tina,Lahdemaki,"5'2""",115lbs.,"62""",Orthodox,May28 1988,1.93,20,4.67,57,0,0,16,0,5,1,0,0,1,0,1,0,0,15,1,
Tim,Lajcik,"6'1""",225lbs.,--,Orthodox,Jun21 1965,0,0,0,0,0,0,0,0,7,6,1,0,2,0,3,2,0,36.92,4,
Todd,Lally,"5'7""",145lbs.,--,Orthodox,--,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,4.82,1,
Sean,Lally,"6'0""",170lbs.,"74""",Orthodox,Nov04 1990,5.34,39,7.23,30,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,
Ricardo,Lamas,"5'8""",145lbs.,"71""",Orthodox,May21 1982,2.88,45,2.66,59,1.63,32,47,1,19,8,0,1,2,0,1,10,3,221.52,22,
Jason,Lambert,"6'3""",185lbs.,"75""",Orthodox,Jun03 1975,3.21,58,1.84,50,1.35,36,28,2.4,25,12,0,0,3,0,3,6,2,44.55,8,
Jose,Landi-Jons,"5'11""",170lbs.,--,Orthodox,Sep09 1973,0.99,40,0.77,43,2.2,80,40,2.2,27,14,0,0,2,0,2,0,1,22.27,2,
Nate,Landwehr,"5'9""",145lbs.,--,,Jun07 1988,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,
Austen,Lane,"6'6""",245lbs.,"80""",Orthodox,Nov09 1987,5.26,35,6.32,60,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,
Aaron,Lanfranco,--,155lbs.,--,,Aug26 1986,0,0,0,0,0,0,0,0,5,1,0,1,0,1,0,1,0,4.37,1,
Jeremy,Lang,"5'11""",205lbs.,--,Southpaw,May11 1975,1.13,50,1.41,42,4.22,60,0,4.2,21,2,0,0,1,0,1,0,1,10.67,1,
Lionel,Lanham,--,205lbs.,--,,Aug31 1980,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,4.98,1,
Lina,Lansberg,"5'7""",135lbs.,"65""",Orthodox,Mar13 1982,3.21,57,3.9,45,0.83,33,52,0.2,10,4,0,2,1,2,0,2,0,90.03,7,
Taylor,Lapilus,"5'6""",135lbs.,"73""",Southpaw,Apr08 1992,3.77,45,2,61,0.58,40,81,0.6,11,2,0,2,1,1,0,1,0,51.43,4,
Chad,Laprise,"5'10""",170lbs.,"71""",Orthodox,Jul23 1986,4.78,42,3.59,65,1.05,54,78,0,14,4,0,1,2,0,2,6,0,85.82,10,
Anthony,Lapsley,"5'9""",170lbs.,"71""",Southpaw,Feb13 1980,0.53,34,0.58,66,0,0,20,0,25,7,0 (2 NC),0,2,0,2,1,0,18.93,2,
Icho,Larenas,"6'3""",235lbs.,--,Orthodox,Mar12 1980,0.17,15,2.5,28,0,0,14,0,5,4,0,0,1,0,1,1,0,11.98,1,
Lorenz,Larkin,"5'11""",170lbs.,"72""",Orthodox,Sep03 1986,3.53,46,2.74,63,0.27,42,79,0.1,18,5,0 (1 NC),2,1,2,0,5,0,168.1,15,
Jeremy,Larsen,"5'10""",145lbs.,"70""",Orthodox,May18 1984,4.87,48,5.75,57,2.49,33,0,0,8,5,0 (1 NC),0,3,0,3,3,0,18.08,3,
Brock,Larson,"5'11""",170lbs.,"71""",Southpaw,Aug23 1977,1.39,46,1.5,55,2.67,34,43,2,33,6,0,1,2,0,2,3,4,67.5,11,
Ryan,Larson,--,170lbs.,--,,Dec30 1980,0,0,0,0,0,0,0,0,6,2,0,1,0,1,0,0,1,8.23,1,
Bobby,Lashley,"6'3""",255lbs.,"78""",Orthodox,Jul16 1976,3.1,63,0.76,63,11.47,70,0,0,7,1,0,1,1,0,1,2,0,12.1,2,
Ilir,Latifi,"5'10""",205lbs.,"73""",Orthodox,Jul28 1983,2.29,40,3.09,55,1.85,30,100,0.5,15,7,0 (1 NC),1,2,0,2,6,2,88.97,12,
Sione,Latu,"6'0""",215lbs.,--,,--,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1.02,1,
Jenel,Lausa,"5'5""",125lbs.,"68""",Orthodox,Aug01 1988,1.44,42,3.53,53,0.55,66,51,0.8,7,5,0,0,3,0,3,0,1,54.07,4,
Joe,Lauzon,"5'10""",155lbs.,"71""",Orthodox,May22 1984,2.74,38,5.39,54,2.34,45,54,2.1,27,16,0,0,3,0,3,10,8,211.47,27,
Dan,Lauzon,"5'10""",155lbs.,--,Orthodox,Mar30 1988,1.34,25,4.09,61,1.63,33,80,2.7,15,4,0,1,2,0,2,1,2,27.63,4,
Chatt,Lavender,"5'8""",170lbs.,--,,May24 1976,0,0,0,0,0,0,0,0,9,7,0,0,1,0,1,1,0,3.4,1,
Muhammed,Lawal,"6'0""",205lbs.,"78""",Southpaw,Jan11 1981,3.79,52,1.61,66,5.96,75,87,0,9,1,0 (1 NC),1,1,1,0,7,0,82.63,10,
Robbie,Lawler,"5'11""",170lbs.,"74""",Southpaw,Mar20 1982,3.57,45,4.16,60,0.71,66,65,0,28,14,0 (1 NC),0,3,0,3,14,5,380.93,33,
Tom,Lawlor,"6'0""",205lbs.,"74""",Southpaw,May15 1983,2.5,42,2.41,60,2.46,32,57,1.4,10,6,0 (1 NC),2,1,0,1,2,4,97.57,11,
Justin,Lawrence,"5'8""",145lbs.,"67""",Orthodox,May15 1990,3.84,35,2.83,67,0.72,28,73,0,5,2,0,1,2,0,2,2,1,36.72,4,
Lance,Lawrence,"6'1""",145lbs.,"74""",Orthodox,Jun26 1993,5.87,50,9.8,24,1,100,50,0,5,1,0,0,0,0,0,0,0,0,0,
Eric,Lawson,"6'0""",185lbs.,--,Orthodox,--,1.58,57,1.97,44,8.88,42,0,3,9,4,0,1,2,0,2,1,6,22.27,7,
Valmir,Lazaro,"6'0""",155lbs.,"73""",Orthodox,Aug15 1985,4.87,37,4.09,61,1.33,40,96,0,13,4,0,1,2,0,1,0,0,45,3,
Cung,Le,"5'9""",185lbs.,"69""",Southpaw,May25 1972,4.36,48,2.98,66,1.37,71,88,0.3,9,3,0,2,1,0,1,11,0,109.5,12,
Thanh,Le,"5'9""",145lbs.,"74""",Orthodox,Aug28 1985,1.97,40,1.82,70,0,0,100,0,6,1,0,0,0,0,0,0,0,0,0,
Jerome,LeBanner,"6'3""",265lbs.,--,Southpaw,Dec26 1972,0.92,35,1.03,37,0,0,50,0,3,2,0,1,1,0,1,1,0,17.4,2,
Chris,Leben,"5'11""",185lbs.,"74""",Southpaw,Jul21 1980,2.87,42,2.87,52,1.14,41,53,0.8,22,11,0,0,3,0,4,12,5,222.92,25,
Mickael,Lebout,"5'11""",155lbs.,"73""",Orthodox,Aug16 1987,2.6,34,2.98,54,0,0,60,0,14,5,1 (1 NC),1,2,0,1,0,0,45,3,
Stephen,Ledbetter,"5'9""",145lbs.,--,Orthodox,Jun30 1982,1.2,38,1.6,57,5,45,100,0,8,3,0,0,1,0,1,0,0,15,1,
Justin,Ledet,"6'4""",205lbs.,"80""",Orthodox,Sep28 1988,3.45,41,4.46,48,0.32,50,40,0.3,9,2,0 (1 NC),1,2,0,2,1,1,47.52,5,
James,Lee,"5'11""",205lbs.,--,Southpaw,Sep22 1973,1.4,42,3.72,27,13.95,50,0,7,14,3,0 (1 NC),1,1,0,1,1,1,2.15,2,
David,Lee,"5'10""",155lbs.,--,Orthodox,--,1.49,50,3.31,42,0,0,50,0,9,7,0,0,2,0,2,0,2,8.75,2,
Jackie,Lee,--,--,--,,--,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.8,1,
Eun Soo,Lee,"6'1""",215lbs.,--,Orthodox,Mar07 1982,0,0,3.05,60,0,0,50,0,15,3,0 (1 NC),0,1,0,1,1,0,4.27,1,
Tae Hyun,Lee,"6'6""",295lbs.,--,Orthodox,Jan17 1975,1.37,31,3.89,54,5.15,100,0,0,1,2,0,0,2,0,2,2,0,8.73,2,
Tommy,Lee,"5'7""",145lbs.,--,Orthodox,Jan20 1977,0,0,0.3,75,4.57,33,0,0,25,6,0 (1 NC),0,1,0,1,0,1,3.28,1,
